asset_a,asset_b,r2_real,r2_shuffled,delta
USDEUSDT_h1,ETHBTCUSDT_h1,0.7882244124765501,0.02742282642374838,0.7608015860528017
USDEUSDT_h1,HIPPOUSDT_h1,0.7709933299053577,0.026713192712232603,0.7442801371931251
USDEUSDT_h1,BALUSDT_h1,0.7621852580442612,0.025493934917925842,0.7366913231263353
USDEUSDT_h1,RONINUSDT_h1,0.7388528211656074,0.030600829565872067,0.7082519915997353
USDEUSDT_h1,XTZUSDT_h1,0.7299172824067721,0.031085412176359517,0.6988318702304126
USDEUSDT_h1,BADGERUSDT_h1,0.7239617880810159,0.029751477182656805,0.694210310898359
USDEUSDT_h1,BERAUSDT_h1,0.7212661540387557,0.031199679627110344,0.6900664744116454
HOTUSDT_h1,IOUSDT_h1,0.9663686369818745,0.2900014331667641,0.6763672038151104
HOTUSDT_h1,BAKEUSDT_h1,0.963429089621326,0.2935221118509578,0.6699069777703682
ZILUSDT_h1,1000XECUSDT_h1,0.9585407326156047,0.2892180355199694,0.6693226970956353
ZILUSDT_h1,ONTUSDT_h1,0.9668962735814327,0.29852621118632383,0.6683700623951089
HOTUSDT_h1,MANTAUSDT_h1,0.9616783395136458,0.29370111708048885,0.6679772224331569
USDEUSDT_h1,CATIUSDT_h1,0.6965172006762491,0.03431342823820682,0.6622037724380423
USDEUSDT_h1,DBRUSDT_h1,0.6886437556065179,0.028113124161128544,0.6605306314453894
USTCUSDT_h1,DENTUSDT_h1,0.8940143035962652,0.23492420578095186,0.6590900978153134
USDEUSDT_h1,BRUSDT_h1,0.6868114441751105,0.02778867653837014,0.6590227676367404
MASKUSDT_h1,AVLUSDT_h1,0.9485955664356028,0.2923076348421939,0.6562879315934089
USDEUSDT_h1,DODOUSDT_h1,0.6900594669269998,0.03430535885362984,0.65575410807337
USTCUSDT_h1,1000XECUSDT_h1,0.8837616788845803,0.23096156212149577,0.6528001167630846
XCHUSDT_h1,GLMRUSDT_h1,0.8991242177101916,0.2475282049762344,0.6515960127339572
HOTUSDT_h1,DYMUSDT_h1,0.9397832415657631,0.28915342600367855,0.6506298155620845
USDEUSDT_h1,REZUSDT_h1,0.6745076473895337,0.026010584508613488,0.6484970628809202
RUNEUSDT_h1,HPOS10IUSDT_h1,0.9453314746323149,0.29790165420249837,0.6474298204298166
USTCUSDT_h1,RVNUSDT_h1,0.8880509143847326,0.24072588842658016,0.6473250259581524
XCHUSDT_h1,1000APUUSDT_h1,0.8825031418395298,0.2352994839437097,0.6472036578958201
USDEUSDT_h1,AXSUSDT_h1,0.677852521700021,0.032606632147635706,0.6452458895523853
XCHUSDT_h1,QNTUSDT_h1,0.8896310369005833,0.24500601569929326,0.6446250212012901
USDEUSDT_h1,MELANIAUSDT_h1,0.6712411675929009,0.027620948868227968,0.6436202187246729
RUNEUSDT_h1,GOATUSDT_h1,0.9402299797246139,0.29754862603339916,0.6426813536912147
ZILUSDT_h1,AVAUSDT_h1,0.9286124153616788,0.28610733738486993,0.6425050779768089
USDEUSDT_h1,FARTCOINUSDT_h1,0.6651473892786177,0.02273828569333447,0.6424091035852832
MASKUSDT_h1,REDUSDT_h1,0.9312222560509843,0.2889827143078305,0.6422395417431538
RUNEUSDT_h1,SYNUSDT_h1,0.9476534641381666,0.3058665312206731,0.6417869329174936
RUNEUSDT_h1,1000FLOKIUSDT_h1,0.9497885910056396,0.3080211132984486,0.641767477707191
ZILUSDT_h1,QTUMUSDT_h1,0.9420544510280021,0.3014364941568981,0.640617956871104
USDEUSDT_h1,TONUSDT_h1,0.665826527497234,0.025217443011806506,0.6406090844854275
ZILUSDT_h1,OXTUSDT_h1,0.93450844640495,0.29471060733444676,0.6397978390705032
XCHUSDT_h1,HBARUSDT_h1,0.8675240265933569,0.2303425314865346,0.6371814951068223
USDEUSDT_h1,PRIMEUSDT_h1,0.6650161721215555,0.028034334427953223,0.6369818376936023
ZILUSDT_h1,HBARUSDT_h1,0.9111019969618775,0.2744647049500827,0.6366372920117949
UMAUSDT_h1,ASTRUSDT_h1,0.9800596275916577,0.34405255493352205,0.6360070726581356
XCHUSDT_h1,SPELLUSDT_h1,0.8951990091566097,0.2593983306941483,0.6358006784624614
XCHUSDT_h1,AVAILUSDT_h1,0.8954452329816569,0.26026333785583067,0.6351818951258262
UMAUSDT_h1,SSVUSDT_h1,0.976113333313515,0.34138718209499463,0.6347261512185204
UMAUSDT_h1,EIGENUSDT_h1,0.9816222530604249,0.3475394631788863,0.6340827898815387
UMAUSDT_h1,IDUSDT_h1,0.9754181823115978,0.3416171551649383,0.6338010271466595
UMAUSDT_h1,CELOUSDT_h1,0.9812885799556336,0.3475563759958583,0.6337322039597753
ZILUSDT_h1,USTCUSDT_h1,0.921818674866505,0.28849714118452197,0.6333215336819831
USTCUSDT_h1,AVAUSDT_h1,0.8766294754331486,0.2435587868123742,0.6330706886207744
UMAUSDT_h1,LUNA2USDT_h1,0.979624514408305,0.3470425587919913,0.6325819556163137
USDEUSDT_h1,HMSTRUSDT_h1,0.6586645488509038,0.02635497919229135,0.6323095696586124
USTCUSDT_h1,TRBUSDT_h1,0.8766349388511037,0.24437696050334412,0.6322579783477595
ONTUSDT_h1,QTUMUSDT_h1,0.9541452257913239,0.32199326315306986,0.632151962638254
